Departamento,Provincia,Distrito,Latitud,Longitud
AMAZONAS,CHACHAPOYAS,MAGDALENA,-6.420566007,-77.82381736
AMAZONAS,LUYA,LONGUITA,-6.40730433,-78.0048091
AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,-6.372806139,-77.43895777
AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA,-6.491350711,-77.46715681
AMAZONAS,LUYA,COLCAMAR,-6.310031521,-78.01063894
AMAZONAS,LUYA,PROVIDENCIA,-6.307571485,-78.29184788
AMAZONAS,CHACHAPOYAS,SOLOCO,-6.309114251,-77.7463538
AMAZONAS,CHACHAPOYAS,CHETO,-6.297969692,-77.67716636
AMAZONAS,CHACHAPOYAS,SONCHE,-6.175973981,-77.79640453
AMAZONAS,CHACHAPOYAS,HUANCAS,-6.156145011,-77.87497918
AMAZONAS,LUYA,CONILA,-6.126534798,-78.19119414
AMAZONAS,CHACHAPOYAS,QUINJALCA,-6.108160943,-77.68549065
AMAZONAS,BONGARA,VALERA,-6.080633898,-77.86917134
PASCO,PASCO,CHAUPIMARCA,-10.70116949,-76.24658873
PASCO,PASCO,SAN FRANCISCO DE ASIS DE YARUSYACAN,-10.55271199,-76.22831521
PASCO,DANIEL ALCIDES CARRION,CHACAYAN,-10.47957389,-76.39254638
PASCO,DANIEL ALCIDES CARRION,PAUCAR,-10.34087112,-76.41727997
SAN MARTIN,TOCACHE,UCHIZA,-8.358375504,-76.39773782
SAN MARTIN,TOCACHE,TOCACHE,-8.277416362,-76.54623631
SAN MARTIN,MARISCAL CACERES,CAMPANILLA,-7.65207121,-76.80913945
SAN MARTIN,BELLAVISTA,HUALLAGA,-7.294328599,-76.56867205
SAN MARTIN,HUALLAGA,TINGO DE SAPOSOA,-7.064446651,-76.65650846
SAN MARTIN,BELLAVISTA,SAN RAFAEL,-7.02649385,-76.49566931
SAN MARTIN,HUALLAGA,EL ESLABON,-6.99155538,-76.70581379
SAN MARTIN,PICOTA,SAN CRISTOBAL,-6.978509201,-76.42885228
CAJAMARCA,SAN MARCOS,JOSE SABOGAL,-7.22679216,-77.96818357
CAJAMARCA,CAJAMARCA,JESUS,-7.298309553,-78.36664692
APURIMAC,ANDAHUAYLAS,HUAYANA,-13.98959012,-73.55096819
APURIMAC,AYMARAES,CARAYBAMBA,-14.41936817,-73.09450348
APURIMAC,ANTABAMBA,SABAINO,-14.32297232,-72.98015812
APURIMAC,GRAU,VIRUNDO,-14.29105552,-72.67733564
APURIMAC,AYMARAES,CHALHUANCA,-14.29425532,-73.22928361
APURIMAC,AYMARAES,YANACA,-14.23132526,-73.1598036
APURIMAC,GRAU,SAN ANTONIO,-14.17564979,-72.60624246
APURIMAC,GRAU,PATAYPAMPA,-14.22605947,-72.75773875
APURIMAC,AYMARAES,SAÑAYCA,-14.33256634,-73.35826533
APURIMAC,GRAU,SANTA ROSA,-14.12595725,-72.66044368
APURIMAC,ANDAHUAYLAS,PAMPACHIRI,-14.29604284,-73.47852552
APURIMAC,GRAU,CHUQUIBAMBILLA,-14.11737184,-72.77462629
APURIMAC,GRAU,VILCABAMBA,-14.07864626,-72.63623394
APURIMAC,GRAU,MICAELA BASTIDAS,-14.13993137,-72.57469974
APURIMAC,ANDAHUAYLAS,POMACOCHA,-14.0962805,-73.49209823
APURIMAC,AYMARAES,HUAYLLO,-14.09793753,-73.24403296
APURIMAC,ABANCAY,CHACOCHE,-13.99742639,-72.99128875
APURIMAC,ABANCAY,PICHIRHUA,-13.78478771,-73.03173181
CAJAMARCA,CELENDIN,JORGE CHAVEZ,-6.939516151,-78.06949321
CAJAMARCA,CONTUMAZA,CHILETE,-7.256342984,-78.82166438
CAJAMARCA,CONTUMAZA,SANTA CRUZ DE TOLED,-7.327662421,-78.86339843
CAJAMARCA,CONTUMAZA,TANTARICA,-7.275311595,-78.94985202
CAJAMARCA,SAN MIGUEL,BOLIVAR,-6.975911655,-79.16248726
CAJAMARCA,SAN MIGUEL,LLAPA,-6.891372006,-78.74870377
CAJAMARCA,SAN MIGUEL,NANCHOC,-7.008517734,-79.24777479
CAJAMARCA,SAN PABLO,SAN PABLO,-7.086012132,-78.78578435
CAJAMARCA,SAN PABLO,TUMBADEN,-6.987538558,-78.67620481
LA LIBERTAD,TRUJILLO,TRUJILLO,-8.112585691,-79.02385909
LA LIBERTAD,TRUJILLO,HUANCHACO,-8.001046303,-79.0585453
LA LIBERTAD,TRUJILLO,SALAVERRY,-8.253592934,-78.89940378
LA LIBERTAD,TRUJILLO,SIMBAL,-7.918369575,-78.82708513
LA LIBERTAD,ASCOPE,ASCOPE,-7.660898805,-79.08206819
