Departamento;Provincia;Distrito;Latitud;Longitud
AYACUCHO;PARINACOCHAS;PUYUSCA;-15.2820812589;-73.5976263967
AYACUCHO;PAUCAR DEL SARA SARA;OYOLO;-15.0230510294;-73.1185987604
AYACUCHO;PAUCAR DEL SARA SARA;COLTA;-15.1277618502;-73.2505710629
AYACUCHO;PARINACOCHAS;CHUMPI;-15.1058161737;-73.6999284588
AYACUCHO;PARINACOCHAS;SAN FRANCISCO DE RAVACAYCO;-15.0058375731;-73.3631913846
AYACUCHO;LUCANAS;CHAVIÑA;-14.982725166;-73.8836655377
AYACUCHO;HUANCA SANCOS;SACSAMARCA;-13.9839754352;-74.2225631174
LIMA;HUARAL;PACARAOS;-11.1271424248;-76.6648444912
LIMA;YAUYOS;ALLAUCA;-12.6400707043;-76.0383578532
LIMA;YAUYOS;HUAÑ‘EC;-12.2748032971;-76.0794978472
LIMA;YAUYOS;MADEAN;-12.9611396481;-75.6983349945
LIMA;YAUYOS;QUINCHES;-12.3115474665;-76.0917403492
LIMA;YAUYOS;TAURIPAMPA;-12.6831748341;-76.1814440589
CALLAO;CALLAO;LA PUNTA;-12.0716645766;-77.1628314524
ICA;CHINCHA;CHINCHA ALTA;-13.3245339501;-76.0345542845
JUNIN;HUANCAYO;EL TAMBO;-11.9719549448;-75.1610884156
LIMA;LIMA;PUENTE PIEDRA;-11.8720884594;-77.086768675
LIMA;LIMA;SAN MARTIN DE PORRES;-11.9927659685;-77.0885044371
LIMA;LIMA;COMAS;-11.9290998645;-77.0389161298
LIMA;LIMA;LA MOLINA;-12.0879993406;-76.9258984551
ANCASH;CORONGO;YUPAN;-8.64149072746;-77.970095424
ANCASH;OCROS;COCHAS;-10.6492560708;-77.4870296822
CAJAMARCA;CONTUMAZA;CUPISNIQUE;-7.37346557564;-79.0665716489
ANCASH;AIJA;SUCCHA;-9.83800190571;-77.63576165
ANCASH;HUARI;RAPAYAN;-9.27210926848;-76.7766551605
ANCASH;HUARMEY;CULEBRAS;-9.82273390495;-78.103600253
ANCASH;HUARMEY;HUAYAN;-9.89748090566;-77.7446252552
ANCASH;HUAYLAS;CARAZ;-9.02251944214;-77.7497741696
ANCASH;AIJA;LA MERCED;-9.70305259472;-77.6154230842
ANCASH;ANTONIO RAYMONDI;ACZO;-9.2201283971;-76.9986208564
ANCASH;ANTONIO RAYMONDI;CHACCHO;-9.02773894387;-77.072042277
ANCASH;CARHUAZ;CARHUAZ;-9.29359658533;-77.6396360316
ANCASH;CARHUAZ;ATAQUERO;-9.29019361037;-77.7292992043
ANCASH;CARHUAZ;MARCARA;-9.30371350331;-77.4955382355
ANCASH;CARHUAZ;PARIAHUANCA;-9.35601871006;-77.5741962845
ANCASH;HUARAZ;HUARAZ;-9.57041621812;-77.471536956
ANCASH;HUARAZ;HUANCHAY;-9.73105653809;-77.8193329843
ANCASH;HUARAZ;PARIACOTO;-9.48122860614;-77.7946168834
ANCASH;HUARAZ;TARICA;-9.39260674282;-77.4820277823
JUNIN;CONCEPCION;MATAHUASI;-11.8818464002;-75.357433866
JUNIN;CONCEPCION;SANTA ROSA DE OCOPA;-11.8699305656;-75.3068454762
JUNIN;JAUJA;PACCHA;-11.8800486006;-75.5334254765
JUNIN;JAUJA;APATA;-11.680674107;-75.272520699
JUNIN;JAUJA;MUQUIYAUYO;-11.8350452836;-75.4593641269
JUNIN;JAUJA;EL MANTARO;-11.8178318325;-75.3915705648
JUNIN;JAUJA;HUAMALI;-11.7896290501;-75.40409053
JUNIN;JAUJA;ATAURA;-11.7954643315;-75.4470942562
JUNIN;JAUJA;LLOCLLAPAMPA;-11.8348413676;-75.6250488417
JUNIN;JAUJA;HUERTAS;-11.7643839294;-75.4667395988
JUNIN;JAUJA;JULCAN;-11.7542554677;-75.4288855127
JUNIN;JAUJA;PACA;-11.6831698128;-75.5284508382
JUNIN;JAUJA;YAULI;-11.6788479625;-75.4713469129
JUNIN;JAUJA;TUNAN MARCA;-11.7068211895;-75.5947375023
JUNIN;YAULI;HUAY-HUAY;-11.7171368295;-75.9653315533
JUNIN;YAULI;LA OROYA;-11.605270271;-75.8566873536
JUNIN;TARMA;HUARICOLCA;-11.5256485847;-75.6169726433
JUNIN;SATIPO;PAMPA HERMOSA;-11.4137620927;-74.8418596426
JUNIN;TARMA;TAPO;-11.4295625743;-75.528417328
JUNIN;SATIPO;COVIRIALI;-11.3174655957;-74.6514739918
JUNIN;YAULI;MARCAPOMACOCHA;-11.4048868369;-76.257699559
JUNIN;JUNIN;JUNIN;-11.1888134726;-76.0119235956
LIMA;CAÑETE;IMPERIAL;-13.0330917648;-76.3696196438
LIMA;CAÑETE;SANTA CRUZ DE FLORES;-12.5498910213;-76.6462013441
LIMA;HUAROCHIRI;CARAMPOMA;-11.6397024029;-76.3830419094
LIMA;HUAROCHIRI;CHICLA;-11.6644988302;-76.2437979189
LIMA;HUAROCHIRI;HUACHUPAMPA;-11.6968548593;-76.5957975336
LIMA;LIMA;PACHACAMAC;-12.1600011814;-76.8098704964
LIMA;LIMA;PUNTA HERMOSA;-12.2692451361;-76.7437450079
AYACUCHO;LUCANAS;SAN PEDRO;-14.9711188456;-74.2079395643
AYACUCHO;LUCANAS;PUQUIO;-14.6763019328;-74.0162820452
AYACUCHO;LUCANAS;OCAÑA;-14.4274631659;-74.8471654957
AYACUCHO;LUCANAS;CHIPAO;-14.4771648414;-73.757417971
AYACUCHO;LUCANAS;SANTA ANA DE HUAYCAHUACHO;-14.2208734562;-73.9256091782
AYACUCHO;LUCANAS;AUCARA;-14.1944628059;-74.153949635
AYACUCHO;SUCRE;SORAS;-14.2095609455;-73.6909929932
AYACUCHO;VICTOR FAJARDO;ASQUIPATA;-14.0758176762;-73.9378098713
AYACUCHO;VICTOR FAJARDO;APONGO;-14.0649574235;-74.0068565926
AYACUCHO;HUANCA SANCOS;SANTIAGO DE LUCANAMARCA;-13.8262851305;-74.5329247416
AYACUCHO;VICTOR FAJARDO;HUAYA;-13.8780299062;-73.979199011
